,State,Year,state_total_pop,state_emp_avg,state_emp_sum,state_hires_total,state_avg_earnings,state_avg_earnings_meanq,econ_emp_per_1k,econ_hires_per_1k,econ_hire_rate_annual,growth_emp_yoy,growth_earn_yoy,growth_hires_yoy,STATE_# Alcohol-Impaired Driving Deaths,STATE_# Driving Deaths,STATE_Premature Deaths,STATE_% Adults with Obesity,STATE_% Children in Poverty,STATE_% Children in Single-Parent Households,STATE_% Drive Alone to Work,STATE_% Excessive Drinking,STATE_% Fair or Poor Health,STATE_% Long Commute - Drives Alone,STATE_% Low Birthweight,STATE_% Severe Housing Problems,STATE_% Smokers,STATE_% Some College,STATE_% Unemployed,STATE_% Uninsured,STATE_% With Access to Exercise Opportunities,STATE_Food Environment Index,STATE_Income Ratio,STATE_Mentally Unhealthy Days,STATE_Physically Unhealthy Days,STATE_Preventable Hospitalization Rate,STATE_Primary Care Physicians Rate,STATE_Social Association Rate,STATE_Teen Birth Rate,STATE_Violent Crime Rate
0,Alabama,2014,4843737.0,1498318.5,5993274.0,1096661.0,3228.4839243124875,3228.168018937519,309.3311011725038,226.40803990802968,0.7319278244245132,,,,1273.0,4438.0,70721.0,32.95045649670905,27.502482731824625,37.24708229911694,84.21563195558483,11.52472919153125,20.223335949082287,31.999688546260874,10.319342214492654,14.753079837952173,21.68218447863705,57.195816150905635,7.378549569789367,16.609502855621173,51.93523882797634,6.93283608464114,0.0,4.254047381185229,4.289235769819872,0.0,62.13299148900735,0.0,48.186843170818975,410.74530176501577
1,Alabama,2015,4854803.0,1525839.0,6103356.0,1161013.0,3296.603814360493,3296.0533341037217,314.29473039379764,239.14729392727162,0.7609013795033421,0.018367590068466753,0.02109965285409052,0.05867993846776716,1204.0,4321.0,72385.0,33.167514830158915,27.357359155459037,38.08914064438545,84.90991046746755,11.53870702889489,20.199768662085773,32.39655920126934,10.21719290356915,15.16919994414623,21.673502179182144,57.77065403376637,6.549347094796807,15.765387891795555,64.35565426939682,6.694086062812436,5.030240216908683,4.25250342804847,4.285822843892944,69.08895213667785,62.883134584663885,12.483550651466249,46.96852449522417,410.09312525001127
2,Alabama,2016,4866824.0,1550592.0,6202368.0,1216125.0,3333.740662598543,3333.279657449374,318.6044944300431,249.88062029775475,0.7842972232540861,0.016222550347710342,0.011265183907231054,0.04746889139053568,1274.0,4294.0,73929.0,33.526119395318176,27.31375143214548,38.200329090960466,85.26353025173869,13.91139260429389,21.043945065611577,32.7731946748023,10.145142291635434,15.366843479329315,19.685384698522075,58.1561500067541,6.872057354670893,15.87466509501045,63.1415287067302,6.630406421107482,5.064997252037854,4.613115082854856,4.642889284675181,63.23396778679484,63.920447721425724,12.495976485627306,44.568666475211586,409.63310168806674
3,Alabama,2017,4877989.0,1568279.25,6273117.0,1256587.0,3396.8340606432175,3396.809367391475,321.5011862470375,257.6034919307936,0.801252072932802,0.011406772381129271,0.01892570671513935,0.03327125089937301,1260.0,4281.0,75262.0,33.96644742331318,26.450389371521744,38.01197776159678,85.42598285699646,13.868614740729337,20.002089218332586,33.117595222129445,10.09354919333817,15.40968628504152,19.35175408546444,58.79193392764459,6.158677841296268,14.168718474075808,0.0,6.505342344970438,5.0827142919793875,4.346475011201542,4.317696188250188,59.03098673859249,64.60210889613322,12.411105883343183,41.75970139311816,430.88142252658986
4,Alabama,2018,4891628.0,1591449.75,6365799.0,1343611.0,3499.5257250503823,3499.331999519674,325.34153251228423,274.675629463238,0.844268567072256,0.014774473359894291,0.030231581105766268,0.06925425776329057,1146.0,4426.0,0.0,34.57902681888321,24.638316548192133,37.89969278866805,85.72190254470969,15.714377778209025,20.34783345765066,33.66632438116717,10.069692737023466,15.419572972286128,19.399418578764845,59.40373376131152,6.0377558367389685,11.897537384231603,63.17262871389051,6.945420052383379,5.107863866048226,4.469942234323267,4.378238760067233,59.751012092497625,65.3272814965631,12.24904974179488,35.987034009203086,430.31534311567316
5,Alabama,2019,4907965.0,1615888.0,6463552.0,1374595.0,3666.934757854505,3666.683952267361,329.23788168823535,280.0743281584119,0.8506746754725575,0.015355967098552751,0.04783763457024232,0.023060245859850805,1302.0,4554.0,0.0,35.02444090371468,24.23576333572061,37.8687572339878,85.87825505494278,15.721170641812854,20.328785429851592,33.9330316943988,10.057760171284745,14.863930955892995,19.390051506604966,59.70157026835567,4.434527745480151,10.775011254528435,62.16627934730287,7.034693340315182,5.081203495366143,4.4684897370997865,4.376069862167842,5369.131473227702,65.50430916062564,12.219601185154453,33.564008122277315,472.78775870611264
6,Alabama,2020,5033094.0,1559571.5,6238286.0,1309027.0,4021.768359610316,4021.405165372082,309.8633762850445,260.0839563099755,0.8393504241389381,-0.034851734773697185,0.0967657253775144,-0.04769986796110855,1284.0,4654.0,81791.0,35.37926164303707,23.727665467801714,37.067665041584085,85.81666075541091,14.68724996604779,21.396364476193153,34.43333669110889,10.158991046642598,14.308825922116934,18.772701924819767,60.3209070774265,3.9629048083117673,11.032837632166821,61.815463397294614,7.068736049833363,5.117848878240441,4.809748174309555,4.650494770986194,5703.10517407384,65.95930713791556,11.929488719650955,31.230921577743278,472.44832634361217
7,Alabama,2021,5049196.0,1596543.5,6386174.0,1546109.0,4253.0202788085635,4250.125947526031,316.1975688802732,306.20894890988586,0.9684101936464619,0.023706511692474504,0.05750005930740731,0.18111314739879314,1280.0,4764.0,82249.0,36.04101827300822,21.728498358946652,31.538944494173663,85.73055776594109,15.451712561790213,21.581680686569644,34.80364101532204,10.211728973697884,13.847819311503786,20.6045849067426,60.613035916328116,3.0227059190676053,11.872013000669293,61.8646592319408,6.989105671477201,5.082433908757716,5.055368599188934,4.529720911754668,5348.639127100631,65.34737530490003,11.84056928596798,29.240761751897317,471.0256467190052
8,Alabama,2022,5076181.0,1652718.5,6610874.0,1566054.0,4479.838643725474,4478.36657024381,325.5830515105746,308.5102757368187,0.9475624554332756,0.035185386430122326,0.053331127069173326,0.01290012541159776,1255.0,4848.0,88086.0,35.53545511872016,20.705868092568014,30.841323005340396,84.93661096859552,16.166450561019705,21.66649327516099,35.23743373216991,10.321724291600809,13.645047724743877,20.678406601340654,61.4378694746727,5.886794132253027,11.579971148763011,57.58582080901078,6.886648900029372,5.024980189337596,5.479956965591021,4.682071926202089,4792.433679965313,65.87342846915821,11.642263832338442,27.84909201915533,469.64673085439233
9,Alabama,2023,5117673.0,1694199.25,6776797.0,1470052.0,4648.182928306691,4647.886611033338,331.0487500862208,287.25008416911356,0.8676972321880085,0.025098496809952815,0.03757820269196578,-0.06130184527481172,1255.0,4848.0,88086.0,39.034690297719294,22.517561731669844,30.591824146657203,0.0,15.977871364136721,18.528688194810414,35.19834399345171,10.309226258697603,13.115639306672652,19.049628688663773,61.31860158818523,3.454064074206761,11.817412944140449,60.98690866792703,6.864261999545496,5.011464385630463,5.161992417237808,3.665949400592286,3548.99876193731,65.77714988824022,11.385843857888494,27.811260127608456,0.0
